source	target	weight
97889	2729	0.0
97889	2017	3.0
97889	2458	0.006
97889	2156	0.004
97889	1903	0.15
97889	1968	0.054
97889	2055	0.009
97889	2863	0.0015
97889	2532	0.0
97889	2335	2.0
97889	2748	0.0008
97889	1805	0.0
97889	1980	0.0
97889	2342	0.0
97889	1728	0.0
97889	3246	2.0
97889	1791	0.0
97889	2173	0.0
98095	3209	435.0
98095	2438	0.0
98095	2082	13.5
98095	2006	0.5
98095	2877	7.5
98095	2554	168.0
98095	1855	7.5
98095	3166	0.435
98095	2843	0.047
98095	3126	0.1305
98095	1759	0.0
98095	2113	0.0
98095	2017	12.25
98095	2458	0.0025
98095	2156	0.143
98095	1903	0.129
98095	1968	0.064
98095	2055	0.0279999999999999
98095	2863	0.003375
98095	2532	0.0
98095	1805	0.0
98095	3163	0.0
98095	1911	0.0
98095	2747	0.0
98095	2643	0.0
98095	1729	0.0
98095	2480	0.0
98095	1999	0.0
98095	3072	0.0
98095	2729	0.0
98095	2748	0.0
98095	1980	0.0
98095	2342	0.0
98095	1728	0.0
98095	3246	0.0
98095	1791	0.0
98095	2173	0.0
97454	3209	43118.0
97454	2438	36.66666666666666
97454	2638	3.0
97454	1837	188.3333333333333
97454	1813	0.0
97454	3163	0.0
97454	2113	0.012
97454	1729	0.0046
97454	1762	0.0002
97454	2781	0.0
97454	1780	0.0
97454	1999	3.24125
97454	2748	0.03556
97454	2730	0.013
97454	2156	0.016
97454	1903	0.0557142857142857
97454	2055	0.024
97454	1968	0.3966666666666666
97454	3257	6.0
97454	2863	0.003
97454	2532	0.0001325
97454	2017	0.0
97454	1855	542.6
97454	2554	43.4
97454	2082	13.8
97454	2877	28.6
97454	2006	0.174
97454	2843	0.024
97454	3166	0.218
97454	3030	0.006
97454	3126	0.09975
97454	2396	0.0
97454	1759	0.0016
97454	2755	0.0
97454	2310	0.0
97454	2620	0.0
97454	2658	0.0
97454	2024	0.0
97454	2643	1870.0
97454	3239	0.0
97454	1980	0.0
97454	2342	0.0
97454	1728	0.0
97454	3246	0.2
97454	2674	0.0
97454	2630	14.0
97454	3183	0.0
97454	2846	33850.0
97454	3190	0.0
97454	2897	800.0
97454	2416	200.0
97454	3112	15350.0
97454	1914	5950.0
97454	1767	0.0
97454	2269	0.0
97454	2173	0.0
97454	1791	0.0
97454	1805	63.8
97454	1764	21.0
97454	1735	38.0
97454	3123	11.5
97454	1881	8.0
97454	2797	7.5
97454	2864	11.5
97454	3146	13.0
97454	2660	6.0
97454	3182	13.0
97454	2500	11.5
97454	1874	16.5
97454	3017	22.0
97454	1887	180.0
97454	2927	19.5
97454	1792	70.0
97454	2666	25.5
97454	1911	0.0
97454	2747	0.0
97454	2480	0.0
97454	3072	0.002
97454	2729	0.0
97454	2458	0.0166666666666666
97454	2335	13.9
97454	2431	0.0004
98336	3209	33022.0
98336	2426	15994.0
98336	1822	0.0
98336	2438	0.0
98336	2638	0.0
98336	1837	50.0
98336	1911	47.0
98336	2747	1041.6666666666667
98336	2643	37184.0
98336	2082	67.8
98336	2006	5.574
98336	2877	294.0
98336	2554	797.6666666666666
98336	1855	21.8
98336	3166	4.8566666666666665
98336	2843	1.9376666666666664
98336	3126	2.0886666666666667
98336	1759	0.0059333333333333
98336	2113	0.0
98336	2017	0.1399999999999999
98336	2458	0.0846666666666666
98336	2156	0.1613333333333333
98336	1903	1.7613333333333332
98336	1968	0.1673333333333333
98336	2055	0.0443333333333333
98336	2863	0.013
98336	2532	0.0
98336	2660	156.0
98336	3146	425.5
98336	1764	440.5
98336	1735	716.0
98336	3123	539.5
98336	1881	132.5
98336	2797	186.5
98336	2864	440.5
98336	3182	752.0
98336	2500	212.5
98336	1874	518.0
98336	3017	1240.5
98336	1887	1849.0
98336	2927	525.0
98336	1792	700.0
98336	2666	527.5
98336	1805	3.6
98336	1980	43.333333333333336
98336	2342	530.0
98336	1728	423.3333333333333
98336	3246	3150.0
98336	3163	0.0
98336	1729	0.0
98336	2480	0.0
98336	1999	0.19
98336	1762	0.0
98336	3072	0.0
98336	2729	0.0
98336	2059	5.83
98336	2388	0.0
98336	2335	45.650000000000006
98336	3016	0.0
98336	2748	0.00595
98336	2363	2.6
98336	1940	0.0
98336	1791	0.0
98336	2173	0.0
98336	2098	38.0
98336	2016	13.0
98336	2177	85.0
98336	2674	0.0
98336	2630	100.0
98336	3259	0.0
98336	1914	117.0
98468	3209	3100.0
98468	2438	0.0
98468	3163	0.0
98468	1911	0.0
98468	2747	0.0
98468	2643	250.0
98468	2082	23.0
98468	2006	3.92
