id	node_type
Breakfast cereal	food
Onion	food
Pike	food
Bacon crisps	food
Luncheon meat	food
Eppaw	food
Papad	food
GEORGE WESTON BAKERIES	food
Beer [Regular]	food
MORNINGSTAR FARMS Veggie Breakfast Sausage Patties	food
Rutabagas	food
Artichokes	food
Beer [Ale]	food
Barley groats	food
GARDENBURGER Breaded Chik'n Veggie Patties	food
Oat Bran	food
MORNINGSTAR FARMS Spicy Black Bean Burger	food
PILLSBURY Golden Layer Buttermilk Biscuits	food
Rice groats	food
Fish balls	food
Spices	food
Vegetables	food
Olive loaf	food
Mountain Yam	food
Halibut	food
WORTHINGTON Dinner Roast	food
Pumpkin leaves	food
Beef stew	food
Soy meal	food
Wheat bran	food
Green bean	food
Ginger	food
Java-plum	food
Cheese fondue	food
Guava sauce	food
Almond	food
WORTHINGTON Smoked Turkey Roll	food
Agave	food
Carbonated beverage	food
Luffa	food
Italian oregano	food
Plantains	food
Drink mix	food
Tostada with guacamole	food
Watermelon	food
Bitter Melon	food
"PAPA JOHN'S 14"" Pepperoni Pizza"	food
Canela de la China (Sp.)	food
Lettuce [Green]	food
Zwieback	food
Raisins	food
Chickpeas (garbanzo beans	food
Carissa	food
Bread	food
Lemon peel	food
Gravy	food
Potato salad	food
Dairy drink mix	food
Burrito	food
GENERAL MILLS	food
Coriander	food
Walrus	food
Wocas	food
Tostada shells	food
BITTER	food
Avocado	food
Norway haddock	food
Common bean [White]	food
Cumin	food
Madeira	food
Bonavist Bean	food
Sandwich spread	food
German camomile	food
Dressing	food
KELLOGG'S Eggo Golden Oat Waffles	food
Cacao	food
MORNINGSTAR FARMS Mini Corn Dogs	food
Bean sprouts	food
Whiskey sour mix	food
Tea	food
Swamp cabbage	food
Olives	food
Rose Hips	food
Blood sausage	food
Corned beef loaf	food
Lard	food
Fig	food
Snail	food
"LITTLE CAESARS 14"" Original Round Cheese Pizza"	food
Black Currant	food
Half-highbush blueberry	food
Horse-radish	food
Orange Pineapple Juice Blend	food
Wine [Ros챕]	food
Pines	food
McDONALD'S	food
Pollack	food
Mung bean	food
Turnip greens	food
QUAKER	food
Cereals ready-to-eat	food
Prune juice	food
Alcoholic Beverage	food
Pastilles	food
Dock (US)	food
Soybean	food
Toddler formula	food
Scotch whisky	food
Blackberries	food
Acerola	food
Mixed vegetable and fruit juice drink	food
Pigeon peas (red gram)	food
Pepper	food
Chickory	food
WORTHINGTON Prime Stakes	food
Elderberry	food
Sweet potato leaves	food
Waffles	food
Cod	food
Yoghurt with peach melba	food
Split pea soup	food
Sea lion	food
CRACKER BARREL	food
SILK Plain soy yogurt	food
Croissants	food
Creamy dressing	food
Swiss chard leaves [Red]	food
Blackberry	food
Chocolate syrup	food
Durian	food
Muffin	food
Chili with beans	food
Turtle	food
Savory	food
Pop corn	food
New Zealand Spinach	food
Knackwurst	food
Barley malt flour	food
Hare	food
Toppings	food
Sweeteners	food
Peach	food
Soymilk	food
Poultry salad sandwich spread	food
Cobnut	food
Corn flour	food
Cherries	food
Jams and preserves	food
Oheloberries	food
Bean	food
Yoghurt with orange juice	food
WORTHINGTON FriChik Original	food
Kamut	food
Calabash Gourd	food
Water	food
Dove	food
Turmeric	food
Breadfruit	food
Bog bilberry	food
HOUSE FOODS Premium Firm Tofu	food
Bulgur	food
Grapefruit	food
Avocados	food
CAMPBELL Soup Company	food
Bean beverage	food
Marshmellows	food
Roastbeef	food
Pig	food
Fruit punch drink	food
Cheese puffs and twists	food
Cream substitute	food
Vermouth	food
Ready-to-drink reduced fat milk beverage	food
Broadbeans (fava beans)	food
Tomato [Cherry]	food
Papaya	food
Zucchini	food
Shortening household soybean (hydrogenated) and palm	food
Sweetpotato	food
Tomato and vegetable juice	food
Plains Pricklypear	food
Cocoa mix	food
Celeriac	food
Mango	food
Vinespinach	food
Vodka	food
Loganberries	food
Tofu	food
Common cabbage [Green]	food
Rum	food
Meat balls	food
Syrup	food
Beebread	food
Fat free ice cream	food
MORNINGSTAR FARMS Grillers Prime	food
Fungi	food
Lime juice	food
Cheesecake prepared from mix	food
Olive [Black]	food
Walnut oil	food
Grapefruit/Pummelo hybrid	food
Chestnut	food
Cayenne	food
Sprat	food
Water chestnut	food
